Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos trimestre anterior,KPI
2023,1,Chaco,43.15,43.62,-1.08
2023,2,Chaco,42.87,43.15,-0.65
2023,3,Chaco,42.87,42.87,0.0
2023,4,Chaco,44.35,42.87,3.45
2024,1,Chaco,46.7,44.35,5.3
2024,2,Chaco,44.06,46.7,-5.65
2014,1,Chubut,41.2352180797243,,0.0
2014,2,Chubut,41.4102098199126,41.24,0.42
2014,3,Chubut,40.5986709442745,41.41,-1.96
2014,4,Chubut,40.2492746845027,40.6,-0.86
2015,1,Chubut,37.6127806859079,40.25,-6.55
2015,2,Chubut,36.5824672045848,37.61,-2.74
2015,3,Chubut,36.8118099146332,36.58,0.63
2015,4,Chubut,36.8901782778659,36.81,0.21
2016,1,Chubut,36.0927055378499,36.89,-2.16
2016,2,Chubut,36.1243856555634,36.09,0.09
2016,3,Chubut,36.1786944287865,36.12,0.15
2016,4,Chubut,36.072905464279,36.18,-0.29
2017,1,Chubut,35.662220237763,36.07,-1.14
2017,2,Chubut,35.5460111791441,35.66,-0.33
2017,3,Chubut,46.2153774665184,35.55,30.02
2017,4,Chubut,51.4630962674935,46.22,11.35
2018,1,Chubut,53.7156048824891,51.46,4.38
2018,2,Chubut,54.9023033373551,53.72,2.21
2018,3,Chubut,56.391745852269,54.9,2.71
2018,4,Chubut,42.6109360960454,56.39,-24.44
2019,1,Chubut,42.997736337178,42.61,0.91
2019,2,Chubut,46.9879841362692,43.0,9.28
2019,3,Chubut,47.5662416229331,46.99,1.23
2019,4,Chubut,51.1450178551471,47.57,7.52
2020,1,Chubut,51.268489419097,51.15,0.24
2020,2,Chubut,57.3446133872355,51.27,11.85
2020,3,Chubut,68.3438981572004,57.34,19.18
2020,4,Chubut,68.3518991582562,68.34,0.01
2021,1,Chubut,68.9942808881567,68.35,0.94
2021,2,Chubut,72.2941048193647,68.99,4.78
2021,3,Chubut,80.7097384765756,72.29,11.64
2021,4,Chubut,82.5734006387143,80.71,2.31
2022,1,Chubut,88.0527409383577,82.57,6.64
2022,2,Chubut,83.19,88.05,-5.52
2022,3,Chubut,84.38,83.19,1.43
2022,4,Chubut,85.57,84.38,1.41
2023,1,Chubut,85.89,85.57,0.37
2023,2,Chubut,82.49,85.89,-3.96
2023,3,Chubut,84.23,82.49,2.11
2023,4,Chubut,84.96,84.23,0.87
2024,1,Chubut,84.89,84.96,-0.08
2024,2,Chubut,86.33,84.89,1.7
2014,1,Corrientes,22.3167167138389,,0.0
2014,2,Corrientes,22.5756130032436,22.32,1.16
2014,3,Corrientes,22.7875350351524,22.58,0.94
2014,4,Corrientes,23.5624309927751,22.79,3.4
2015,1,Corrientes,28.9501912819093,23.56,22.87
2015,2,Corrientes,29.5840126681085,28.95,2.19
2015,3,Corrientes,30.167412409019,29.58,1.97
2015,4,Corrientes,30.3364314453388,30.17,0.56
2016,1,Corrientes,30.0807850041331,30.34,-0.84
2016,2,Corrientes,30.5801620466166,30.08,1.66
2016,3,Corrientes,31.0668788260512,30.58,1.59
2016,4,Corrientes,30.9810703764977,31.07,-0.28
2017,1,Corrientes,30.9406001096441,30.98,-0.13
2017,2,Corrientes,31.386121368355,30.94,1.44
2017,3,Corrientes,32.165435745938,31.39,2.48
2017,4,Corrientes,32.5151183111876,32.17,1.09
2018,1,Corrientes,32.6634608731751,32.52,0.46
2018,2,Corrientes,33.8097539088117,32.66,3.51
2018,3,Corrientes,34.2499388738322,33.81,1.3
2018,4,Corrientes,34.5662765686955,34.25,0.92
